DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2018,137.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2019,138.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2020,138.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2021,138.6,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2022,138.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,1995,228.8,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,1996,229.4,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,1997,229.8,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,1998,229.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,1999,230.0,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2000,230.3,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2001,230.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2002,231.0,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2003,231.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2004,231.1,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2005,230.9,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2006,230.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2007,230.4,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2008,229.9,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2009,229.3,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2010,229.0,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2011,224.8,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2012,225.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2013,225.8,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2014,226.5,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2015,228.4,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2016,233.1,b,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2017,234.0,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2018,234.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2019,235.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2020,235.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2021,235.4,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Germany,2022,237.2,e,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,1995,121.3,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,1996,122.1,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,1997,122.6,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,1998,123.1,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,1999,123.4,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2000,123.9,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2001,124.3,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2002,124.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2003,125.1,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2004,125.4,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2005,125.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2006,126.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2007,126.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2008,127.5,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2009,128.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2010,128.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2011,129.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2012,130.4,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2013,130.8,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2014,131.5,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2015,132.4,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2016,136.4,b,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2017,137.3,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2018,138.0,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2019,138.5,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2020,138.5,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2021,138.9,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Denmark,2022,140.6,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,1995,33.1,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,1996,32.6,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,1997,32.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,1998,31.9,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,1999,31.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2000,32.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2001,32.0,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2002,31.8,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2003,31.6,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2004,31.4,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2005,31.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2006,31.0,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2007,30.9,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2008,30.8,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2009,30.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2010,30.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2011,30.6,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2012,30.5,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2013,30.3,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2014,30.3,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Estonia,2015,30.3,,
